शुण्डा,S,2.10.41
पान,N,2.10.41
मदस्थान,N,2.10.41
मधुवार,P,2.10.41
मधुक्रम,P,2.10.41
मध्वासव,P,2.10.41
माधवक,P,2.10.41
मधु,N,2.10.41
मार्द्वीक,N,2.10.41
मैरेय,N,2.10.42
आसव,P,2.10.42
सीधु,P,2.10.42
मेदक,P,2.10.42
जगल,P,2.10.42
सन्धान,N,2.10.42
अभिषव,P,2.10.42
किण्व,N,2.10.42
नग्नहू,P,2.10.42
कारोत्तर,P,2.10.43
सुरामण्ड,P,2.10.43
आपान,N,2.10.43
पानगोष्ठिका,S,2.10.43
चषक,PN,2.10.43
पानपात्र,N,2.10.43
सरक,P,2.10.43
अनुतर्षण,N,2.10.43
धूर्त,P,2.10.44
अक्षदेविन्,P,2.10.44
कितव,P,2.10.44
अक्षधूर्त,P,2.10.44
द्यूतकृत्,P,2.10.44
लग्नक,P,2.10.44
प्रतिभू,P,2.10.44
सभिक,P,2.10.44
द्यूतकारक,P,2.10.44
द्यूत,PN,2.10.45
अक्षवती,S,2.10.45
कैतव,N,2.10.45
पण,P,2.10.45
पण,P,2.10.45
ग्लह,P,2.10.45
अक्ष,P,2.10.45
देवन,P,2.10.45
पाशक,P,2.10.45
परिणाय,P,2.10.46
अष्टापद,PN,2.10.46
शारिफल,PN,2.10.46
प्राणिवृत्त,N,2.10.46
समाह्वय,P,2.10.46
सुकृतिन्,V,3.1.3
पुण्यवत्,V,3.1.3
धन्य,V,3.1.3
महेच्छ,V,3.1.3
महाशय,V,3.1.3
हृदयालु,V,3.1.3
सुहृदय,V,3.1.3
महोत्साह,V,3.1.3
महोद्यम,V,3.1.3
प्रवीण,V,3.1.4
निपुण,V,3.1.4
अभिज्ञ,V,3.1.4
विज्ञ,V,3.1.4
निष्णात,V,3.1.4
शिक्षित,V,3.1.4
वैज्ञानिक,V,3.1.4
कृतमुख,V,3.1.4
कृतिन्,V,3.1.4
कुशल,V,3.1.4
पूज्य,V,3.1.5
प्रतीक्ष्य,V,3.1.5
सांशयिक,V,3.1.5
संशयापन्नमानस,V,3.1.5
दक्षिणेय,V,3.1.5
दक्षिणार्ह,V,3.1.5
दक्षिण्य,V,3.1.5
वदान्य,V,3.1.6
स्थूललक्ष्य,V,3.1.6
दानशौण्ड,V,3.1.6
बहुप्रद,V,3.1.6
जैवातृक,V,3.1.6
आयुष्मत्,V,3.1.6
अन्तर्वाणि,V,3.1.6
शास्त्रविद्,V,3.1.6
परीक्षक,V,3.1.7
कारणिक,V,3.1.7
वरद,V,3.1.7
समर्धक,V,3.1.7
हर्षमाण,V,3.1.7
विकुर्वाण,V,3.1.7
प्रमनस्,V,3.1.7
हृष्टमानस,V,3.1.7
दुर्मनस्,V,3.1.8
विमनस्,V,3.1.8
अन्तर्मनस्,V,3.1.8
उत्क,V,3.1.8
उन्मनस्,V,3.1.8
दक्षिण,V,3.1.8
सरल,V,3.1.8
उदार,V,3.1.8
सुकल,V,3.1.8
तत्पर,V,3.1.9
प्रसित,V,3.1.9
आसक्त,V,3.1.9
इष्टार्थोद्युक्त,V,3.1.9
उत्सुक,V,3.1.9
प्रतीत,V,3.1.9
प्रथित,V,3.1.9
ख्यात,V,3.1.9
वित्त,V,3.1.9
विज्ञात,V,3.1.9
विश्रुत,V,3.1.9
कृतलक्षण,V,3.1.10
आहतलक्षण,V,3.1.10
इभ्य,P,3.1.10
आढ्य,V,3.1.10
धनिन्,P,3.1.10
स्वामिन्,P,3.1.10
ईश्वर,P,3.1.10
पति,P,3.1.10
ईशितृ,P,3.1.10
अधिभू,P,3.1.11
नायक,P,3.1.11
नेतृ,P,3.1.11
प्रभु,P,3.1.11
परिवृढ,P,3.1.11
अधिप,P,3.1.11
अधिकर्धि,V,3.1.11
समृद्ध,V,3.1.11
कुटुम्बव्यापृत,P,3.1.11
अभ्यागारिक,P,3.1.12
उपाधि,P,3.1.12
सिंहसंहनन,P,3.1.12
निर्वार्य,V,3.1.13
अवाक्,V,3.1.13
मूक,V,3.1.13
मनोजवस,V,3.1.13
पितृसन्निभ,V,3.1.13
कूकुद,P,3.1.14
लक्ष्मीवत्,V,3.1.14
लक्ष्मण,P,3.1.14
श्रील,V,3.1.14
श्रीमत्,P,3.1.14
स्निग्ध,P,3.1.14
वत्सल,V,3.1.14
दयालु,V,3.1.15
कारुणिक,V,3.1.15
कृपालु,V,3.1.15
सूरत,V,3.1.15
स्वतन्त्र,V,3.1.15
अपावृत,V,3.1.15
स्वैरिन्,V,3.1.15
स्वच्छन्द,V,3.1.15
निरवग्रह,V,3.1.15
परतन्त्र,V,3.1.16
पराधीन,V,3.1.16
परवत्,V,3.1.16
नाथवत्,V,3.1.16
अधीन,V,3.1.16
निघ्न,V,3.1.16
आयत्त,V,3.1.16
अस्वच्छन्द,V,3.1.16
गृह्यक,V,3.1.16
खलपू,V,3.1.17
बहुकर,V,3.1.17
दीर्घसूत्र,V,3.1.17
चिरक्रिय,V,3.1.17
जाल्म,V,3.1.17
असमीक्ष्यकारिन्,V,3.1.17
कुण्ठ,V,3.1.17
कर्मक्षम,V,3.1.18
अलङ्कर्मन्,V,3.1.18
क्रियावत्,V,3.1.18
कार्म,V,3.1.18
कर्मशील,V,3.1.18
कर्मशूर,V,3.1.18
कर्मठ,V,3.1.18
भरण्यभुज्,V,3.1.19
कर्मकर,V,3.1.19
कर्मकार,V,3.1.19
अपस्नात,V,3.1.19
मृतस्नात,V,3.1.19
आमिषाशिन्,V,3.1.19
शौष्कल,V,3.1.19
बुभुक्षित,V,3.1.20
क्षुधित,V,3.1.20
जिघत्सु,V,3.1.20
अशनायित,V,3.1.20
परान्न,V,3.1.20
परपिण्डाद,V,3.1.20
भक्षक,V,3.1.20
घस्मर,V,3.1.20
अद्मर,V,3.1.20
आद्यून,V,3.1.21
औदरिक,V,3.1.21
आत्मम्भरि,V,3.1.21
कुक्षिम्भरि,V,3.1.21
सर्वान्नीन,V,3.1.22
सर्वान्नभोजिन्,V,3.1.22
गृध्नु,V,3.1.22
गर्धन,V,3.1.22
लुब्ध,V,3.1.22
अभिलाषुक,V,3.1.22
तृष्णज्,V,3.1.22
लोलुप,V,3.1.22
लोलुभ,V,3.1.22
उन्माद,V,3.1.23
उन्मदिष्णु,V,3.1.23
अविनीत,V,3.1.23
समुद्धत,V,3.1.23
मत्त,V,3.1.23
शौण्ड,V,3.1.23
उत्कट,V,3.1.23
क्षीब,V,3.1.23
कामुक,V,3.1.23
कमितृ,V,3.1.23
अनुक,V,3.1.23
कम्र,V,3.1.24
कामयितृ,V,3.1.24
अभीक,V,3.1.24
कमन,V,3.1.24
कामन,V,3.1.24
अभिक,V,3.1.24
विधेय,V,3.1.24
विनयग्राहिन्,V,3.1.24
वचनेस्थित,V,3.1.24
आश्रव,V,3.1.24
वश्य,V,3.1.25
प्रणेय,V,3.1.25
निभृत,V,3.1.25
विनीत,V,3.1.25
प्रश्रित,V,3.1.25
धृष्ट,V,3.1.25
धृष्णज्,V,3.1.25
वियात,V,3.1.25
प्रगल्भ,V,3.1.25
प्रतिभान्वित,V,3.1.25
अधृष्ट,V,3.1.26
शालीन,V,3.1.26
विलक्ष,V,3.1.26
विस्मयान्वित,V,3.1.26
अधीर,V,3.1.26
कातर,V,3.1.26
त्रस्त,V,3.1.26
भीरु,V,3.1.26
भीरुक,V,3.1.26
भीलुक,V,3.1.26
आशंसु,V,3.1.27
आशंसितृ,V,3.1.27
गृहयालु,V,3.1.27
ग्रहीतृ,V,3.1.27
श्रद्धालु,V,3.1.27
पतयालु,V,3.1.27
पातुक,V,3.1.27
लज्जाशील,V,3.1.28
अपत्रपिष्णु,V,3.1.28
वन्दारु,V,3.1.28
अभिवादक,V,3.1.28
शरारु,V,3.1.28
घातुक,V,3.1.28
हिंस्र,V,3.1.28
वर्धिष्णु,V,3.1.28
वर्धन,V,3.1.28
उत्पतिष्णु,V,3.1.29
उत्पतितृ,V,3.1.29
अलङ्करिष्णु,V,3.1.29
मण्डन,V,3.1.29
भूष्णु,V,3.1.29
भविष्णु,V,3.1.29
भवितृ,V,3.1.29
वर्तिष्णु,V,3.1.29
वर्तन,V,3.1.29
निराकरिष्णु,V,3.1.30
क्षिप्नु,V,3.1.30
सान्द्रस्निग्ध,V,3.1.30
मेदुर,V,3.1.30
ज्ञातृ,V,3.1.30
विदुर,V,3.1.30
विन्दु,V,3.1.30
विकासिन्,V,3.1.30
विकस्वर,V,3.1.30
विसृत्वर,V,3.1.31
विसृमर,V,3.1.31
प्रसारिन्,V,3.1.31
विसारिन्,V,3.1.31
सहिष्णु,V,3.1.31
सहन,V,3.1.31
क्षन्तृ,V,3.1.31
तितिक्षु,V,3.1.31
क्षमितृ,V,3.1.31
क्षमिन्,V,3.1.31
क्रोधन,V,3.1.32
अमर्षण,V,3.1.32
कोपिन्,V,3.1.32
चण्ड,V,3.1.32
अत्यन्तकोपन,V,3.1.32
जागरूक,V,3.1.32
जागरितृ,V,3.1.32
घूर्णित,V,3.1.32
प्रचलायित,V,3.1.32
स्वप्नज्,V,3.1.33
शयालु,V,3.1.33
निद्रालु,V,3.1.33
निद्राण,V,3.1.33
शयित,V,3.1.33
पराङ्मुख,V,3.1.33
पराचीन,V,3.1.33
अवाञ्च्,V,3.1.33
अधोमुख,V,3.1.33
देवद्र्यञ्च्,V,3.1.34
विष्वद्र्यञ्च्,V,3.1.34
सध्र्यञ्च्,V,3.1.34
तिर्यञ्च्,V,3.1.34
वद,V,3.1.35
वदावद,V,3.1.35
वक्तृ,P,3.1.35
वागीश,P,3.1.35
वाक्पति,N,3.1.35
वाचोयुक्तिपटु,V,3.1.35
वाग्मिन्,P,3.1.35
वावदूक,V,3.1.35
अतिवक्तृ,V,3.1.35
जल्पाक,V,3.1.36
वाचाल,V,3.1.36
वाचाट,V,3.1.36
बहुगर्ह्यवाच्,V,3.1.36
दुर्मुख,V,3.1.36
मुखर,V,3.1.36
अबद्धमुख,V,3.1.36
शक्ल,V,3.1.36
प्रियंवद,V,3.1.36
लोहल,V,3.1.37
अस्फुटवाच्,V,3.1.37
गर्ह्यवादिन्,V,3.1.37
कद्वद,V,3.1.37
कुवाद,V,3.1.37
कुचर,V,3.1.37
असौम्यस्वर,V,3.1.37
अस्वर,V,3.1.37
रवण,V,3.1.38
शब्दन,V,3.1.38
नान्दीवादिन्,V,3.1.38
नान्दीकर,V,3.1.38
जड,V,3.1.38
अज्ञ,V,3.1.38
एडमूक,V,3.1.38
तूष्णींशील,V,3.1.39
तूष्णीक,V,3.1.39
नग्न,V,3.1.39
अवासस्,V,3.1.39
दिगम्बर,V,3.1.39
निष्कासित,V,3.1.39
अवकृष्ट,V,3.1.39
अपध्वस्त,V,3.1.39
धिक्कृत,V,3.1.39
आत्तगर्व,V,3.1.40
अभिभूत,V,3.1.40
दापित,V,3.1.40
साधित,V,3.1.40
प्रत्यादिष्ट,V,3.1.40
निरस्त,V,3.1.40
प्रत्याख्यात,V,3.1.40
निराकृत,V,3.1.40
निकृत,V,3.1.41
विप्रकृत,V,3.1.41
विप्रलब्ध,V,3.1.41
वञ्चित,V,3.1.41
मनोहत,V,3.1.41
प्रतिहत,V,3.1.41
प्रतिबद्ध,V,3.1.41
हत,V,3.1.41
अधिक्षिप्त,V,3.1.42
प्रतिक्षिप्त,V,3.1.42
बद्ध,V,3.1.42
कीलित,V,3.1.42
संयत,V,3.1.42
आपन्न,V,3.1.42
आपत्प्राप्त,V,3.1.42
कान्दिशीक,V,3.1.42
भयद्रुत,V,3.1.42
आक्षारित,V,3.1.43
क्षारित,V,3.1.43
अभिशस्त,V,3.1.43
सङ्कसुक,V,3.1.43
अस्थिर,V,3.1.43
व्यसनार्त,V,3.1.43
उपरक्त,V,3.1.43
विहस्त,V,3.1.43
व्याकुल,V,3.1.43
विक्लव,V,3.1.44
विह्वल,V,3.1.44
विवश,V,3.1.44
अरिष्टदुष्टधी,V,3.1.44
कश्य,V,3.1.44
कश्यार्ह,V,3.1.44
आततायिन्,V,3.1.44
द्वेष्य,V,3.1.45
अक्षिगत,V,3.1.45
वध्य,V,3.1.45
शीर्षछेद्य,V,3.1.45
विष्य,V,3.1.45
मुसल्य,V,3.1.45
शिश्विदान,V,3.1.46
अकृष्णकर्मन्,V,3.1.46
चपल,V,3.1.46
चिकुर,V,3.1.46
दोषैकदृश्,V,3.1.46
पुरोभागिन्,V,3.1.46
निकृत,V,3.1.46
अनृजु,V,3.1.46
शठ,V,3.1.46
कर्णेजप,V,3.1.47
सूचक,V,3.1.47
पिशुन,V,3.1.47
दुर्जन,V,3.1.47
खल,V,3.1.47
नृशंस,V,3.1.47
घातुक,V,3.1.47
क्रूर,V,3.1.47
पाप,V,3.1.47
धूर्त,V,3.1.47
वञ्चक,V,3.1.47
अज्ञ,V,3.1.48
मूढ,V,3.1.48
यथाजात,V,3.1.48
मूर्ख,V,3.1.48
वैधेय,V,3.1.48
बालिश,V,3.1.48
कदर्य,V,3.1.48
कृपण,V,3.1.48
क्षुद्र,V,3.1.48
किम्पचान,V,3.1.48
मितम्पच,V,3.1.48
निःस्व,V,3.1.49
दुर्विध,V,3.1.49
दीन,V,3.1.49
दरिद्र,V,3.1.49
दुर्गत,V,3.1.49
वनीयक,V,3.1.49
याचनक,V,3.1.49
मार्गण,V,3.1.49
याचक,V,3.1.49
अर्थिन्,V,3.1.49
अहङ्कारवत्,V,3.1.50
अहंयु,V,3.1.50
शुभंयु,V,3.1.50
शुभान्वित,V,3.1.50
दिव्योपपादुक,V,3.1.50
जरायुज,V,3.1.50
स्वेदज,V,3.1.51
अण्डज,V,3.1.51
उद्भिद्,V,3.1.51
उद्भिद्,V,3.1.51
उद्भिज्ज,V,3.1.51
उद्भिज,V,3.1.51
सुन्दर,V,3.1.52
रुचिर,V,3.1.52
चारु,V,3.1.52
सुषम,V,3.1.52
साधु,V,3.1.52
शोभन,V,3.1.52
कान्त,V,3.1.52
मनोरम,V,3.1.52
रुच्य,V,3.1.52
मनोज्ञ,V,3.1.52
मञ्जु,V,3.1.52
मञ्जुल,V,3.1.52
आसेचनक,V,3.1.53
अभीष्ट,V,3.1.53
अभीप्सित,V,3.1.53
हृद्य,V,3.1.53
दयित,V,3.1.53
वल्लभ,V,3.1.53
प्रिय,V,3.1.53
निकृष्ट,V,3.1.54
प्रतिकृष्ट,V,3.1.54
अर्वन्,V,3.1.54
रेफ,P,3.1.54
याप्य,V,3.1.54
अवम,V,3.1.54
अधम,V,3.1.54
कुपूय,V,3.1.54
कुत्सित,V,3.1.54
अवद्य,V,3.1.54
खेट,V,3.1.54
गर्ह्य,V,3.1.54
अणक,V,3.1.54
मलीमस,V,3.1.55
मलिन,V,3.1.55
कच्चर,V,3.1.55
मलदूषित,V,3.1.55
पूत,V,3.1.55
पवित्र,P,3.1.55
मेध्य,V,3.1.55
वीध्र,V,3.1.55
विमलार्थक,V,3.1.55
निर्णिक्त,V,3.1.56
शोधित,V,3.1.56
मृष्ट,V,3.1.56
निःशोध्य,V,3.1.56
अनवस्कर,V,3.1.56
असार,V,3.1.56
फल्गु,V,3.1.56
शून्य,V,3.1.56
वशिक,V,3.1.56
तुच्छ,V,3.1.56
रिक्तक,V,3.1.56
प्रधान,N,3.1.57
प्रमुख,V,3.1.57
प्रवेक,V,3.1.57
अनुत्तम,V,3.1.57
उत्तम,V,3.1.57
मुख्य,V,3.1.57
वर्य,V,3.1.57
वरेण्य,V,3.1.57
प्रवर्ह,V,3.1.57
अनवरार्ध्य,V,3.1.57
परार्ध्य,V,3.1.58
अग्र,V,3.1.58
प्राग्रहर,V,3.1.58
प्राग्र्य,V,3.1.58
अग्र्य,V,3.1.58
अग्रीय,V,3.1.58
अग्रिय,V,3.1.58
श्रेयस्,V,3.1.58
श्रेष्ठ,V,3.1.58
पुष्कल,V,3.1.58
सत्तम,V,3.1.58
अतिशोभन,V,3.1.58
अप्राग्र्य,V,3.1.59
अप्रधान,N,3.1.59
उपसर्जन,N,3.1.59
विशङ्कट,V,3.1.59
पृथु,V,3.1.59
बृहत्,V,3.1.59
विशाल,V,3.1.59
पृथुल,V,3.1.59
महत्,V,3.1.59
वड्र,V,3.1.60
उरु,V,3.1.60
विपुल,V,3.1.60
पीन,V,3.1.60
पीवन्,V,3.1.60
स्थूल,V,3.1.60
पीवर,V,3.1.60
स्तोक,V,3.1.60
अल्प,V,3.1.60
क्षुल्लक,V,3.1.60
सूक्ष्म,V,3.1.60
श्लक्ष्ण,V,3.1.60
दभ्र,V,3.1.60
कृश,V,3.1.60
तनु,V,3.1.60
मात्रा,S,3.1.61
त्रुटि,S,3.1.61
लव,P,3.1.61
लेश,P,3.1.61
कण,P,3.1.61
अणु,P,3.1.61
अत्यल्प,V,3.1.61
अल्पिष्ठ,V,3.1.61
अल्पीयस्,V,3.1.61
कनीयस्,V,3.1.61
अणीय,V,3.1.61
प्रभूत,V,3.1.62
प्रचुर,V,3.1.62
प्राज्य,V,3.1.62
अदभ्र,V,3.1.62
बहुल,V,3.1.62
बहु,V,3.1.62
पुरुहू,V,3.1.62
पुरु,V,3.1.62
भूयिष्ठ,V,3.1.62
स्फिर,V,3.1.62
भूयस्,A,3.1.62
भूरि,V,3.1.62
परश्शत,V,3.1.63
गणनीय,V,3.1.63
गणेय,V,3.1.63
सङ्ख्यात,V,3.1.63
गणित,V,3.1.63
सम,V,3.1.63
सर्व,V,3.1.63
विश्व,N,3.1.64
अशेष,V,3.1.64
कृत्स्न,V,3.1.64
समस्त,V,3.1.64
निखिल,V,3.1.64
अखिल,V,3.1.64
निःशेष,V,3.1.64
समग्र,V,3.1.64
सकल,V,3.1.64
पूर्ण,V,3.1.64
अखण्ड,V,3.1.64
अनूनक,V,3.1.64
घन,P,3.1.65
निरन्तर,V,3.1.65
सान्द्र,V,3.1.65
पेलव,V,3.1.65
विरल,V,3.1.65
तनु,V,3.1.65
समीप,V,3.1.65
निकट,V,3.1.65
आसन्न,V,3.1.65
सन्निकृष्ट,V,3.1.65
सनीड,V,3.1.65
सदेश,V,3.1.66
अभ्याश,V,3.1.66
सविध,V,3.1.66
समर्याद,V,3.1.66
सवेश,V,3.1.66
उपकण्ठ,V,3.1.66
अन्तिक,V,3.1.66
अभ्यर्ण,V,3.1.66
अभ्यग्र,V,3.1.66
अभितस्,A,3.1.66
अव्यय,V,3.1.66
संसक्त,V,3.1.67
अव्यवहित,V,3.1.67
अपदान्त,V,3.1.67
नेदिष्ठ,V,3.1.67
अन्तिकतम,V,3.1.67
दूर,V,3.1.67
विप्रकृष्टक,V,3.1.67
दवीयस्,V,3.1.68
दविष्ठ,V,3.1.68
सुदूर,V,3.1.68
दीर्घ,V,3.1.68
आयत,V,3.1.68
वर्तुल,V,3.1.68
निस्तल,V,3.1.68
वृत्त,N,3.1.68
बन्धुर,V,3.1.68
उन्नतानत,V,3.1.68
उच्च,V,3.1.69
प्रांशु,V,3.1.69
उन्नत,V,3.1.69
उदग्र,V,3.1.69
उच्छ्रित,V,3.1.69
तुङ्ग,V,3.1.69
वामन,P,3.1.69
न्यञ्च्,V,3.1.69
नीच,P,3.1.69
खर्व,P,3.1.69
ह्रस्व,P,3.1.69
अवाग्र,V,3.1.69
अवनत,V,3.1.69
आनत,V,3.1.69
अराल,V,3.1.70
वृजिन,V,3.1.70
जिह्म,V,3.1.70
ऊर्मिमत्,V,3.1.70
कुञ्चित,V,3.1.70
नत,V,3.1.70
आविद्ध,V,3.1.70
कुटिल,V,3.1.70
भुग्न,V,3.1.70
वेल्लित,V,3.1.70
वक्र,V,3.1.70
ऋजु,V,3.1.71
अजिह्म,V,3.1.71
प्रगुण,V,3.1.71
व्यस्त,V,3.1.71
अप्रगुण,V,3.1.71
आकुल,V,3.1.71
शाश्वत,V,3.1.71
ध्रुव,V,3.1.71
नित्य,V,3.1.71
सदातन,V,3.1.71
सनातन,V,3.1.71
स्थास्नु,V,3.1.72
स्थिरतर,V,3.1.72
स्थेयस्,V,3.1.72
कूटस्थ,V,3.1.72
स्थावर,V,3.1.72
जङ्गमेतर,V,3.1.72
चरिष्णु,V,3.1.73
जङ्गम,V,3.1.73
चर,V,3.1.73
त्रस,V,3.1.73
इङ्ग,V,3.1.73
चराचर,V,3.1.73
चलन,V,3.1.73
कम्पन,V,3.1.73
कम्प्र,V,3.1.73
चल,V,3.1.73
लोल,V,3.1.73
चलाचल,V,3.1.73
चञ्चल,V,3.1.74
तरल,V,3.1.74
पारिप्लव,V,3.1.74
परिप्लव,V,3.1.74
अतिरिक्त,V,3.1.74
समधिक,V,3.1.74
दृढसन्धि,V,3.1.74
संहत,V,3.1.74
खक्खट,V,3.1.75
कठिन,V,3.1.75
क्रूर,V,3.1.75
कठोर,V,3.1.75
निष्ठुर,V,3.1.75
दृढ,V,3.1.75
जरठ,V,3.1.75
मूर्तिमत्,V,3.1.75
मूर्त,V,3.1.75
प्रवृद्ध,V,3.1.75
प्रौढ,V,3.1.75
एधित,V,3.1.75
पुराण,V,3.1.76
प्रतन,V,3.1.76
प्रत्न,V,3.1.76
पुरातन,V,3.1.76
चिरन्तन,V,3.1.76
प्रत्यग्र,V,3.1.76
अभिनव,V,3.1.76
नव्य,V,3.1.76
नवीन,V,3.1.76
नूतन,V,3.1.76
नव,V,3.1.76
नूत्न,V,3.1.77
सुकुमार,V,3.1.77
कोमल,V,3.1.77
मृदुल,V,3.1.77
मृदु,V,3.1.77
अन्वञ्च्,V,3.1.77
अन्वक्ष,V,3.1.77
अनुग,V,3.1.77
अनुपद,NA,3.1.77
प्रत्यक्ष,V,3.1.78
ऐन्द्रियक,V,3.1.78
अप्रत्यक्ष,V,3.1.78
अतीन्द्रिय,V,3.1.78
एकतान,V,3.1.78
अनन्यवृत्ति,V,3.1.78
एकाग्र,V,3.1.78
एकायन,V,3.1.78
एकसर्ग,V,3.1.79
एकाग्र्य,V,3.1.79
एकायनगत,V,3.1.79
आदि,P,3.1.79
पूर्व,V,3.1.79
पौरस्त्य,V,3.1.79
प्रथम,V,3.1.79
आद्य,V,3.1.79
अन्त,PN,3.1.80
जघन्य,V,3.1.80
चरम,V,3.1.80
अन्त्य,V,3.1.80
पाश्चात्य,V,3.1.80
पश्चिम,V,3.1.80
मोघ,V,3.1.80
निरर्थक,V,3.1.80
स्पष्ट,V,3.1.80
स्फुट,V,3.1.80
प्रव्यक्त,V,3.1.80
उल्बण,V,3.1.80
साधारण,V,3.1.81
सामान्य,N,3.1.81
एकाकिन्,V,3.1.81
एक,V,3.1.81
एकक,V,3.1.81
भिन्नार्थक,V,3.1.81
अन्यतर,V,3.1.81
एक,V,3.1.81
त्व,V,3.1.81
अन्य,V,3.1.81
इतर,V,3.1.81
उच्चावच,V,3.1.82
नैकभेद,V,3.1.82
उच्चण्ड,V,3.1.82
अविलम्बित,V,3.1.82
अरुन्तुद,V,3.1.82
मर्मस्पृश्,V,3.1.82
अबाध,V,3.1.82
निरर्गल,V,3.1.82
प्रसव्य,V,3.1.83
प्रतिकूल,V,3.1.83
अपसव्य,V,3.1.83
अपष्ठु,V,3.1.83
सव्य,V,3.1.83
अपसव्य,V,3.1.83
सङ्कट,P,3.1.84
सम्बाध,P,3.1.84
कलिल,V,3.1.84
गहन,V,3.1.84
सङ्कीर्ण,V,3.1.84
सङ्कुल,V,3.1.84
आकीर्ण,V,3.1.84
मुण्डित,V,3.1.84
परिवापित,V,3.1.84
ग्रन्थित,V,3.1.85
सन्दित,V,3.1.85
दृब्ध,V,3.1.85
विसृत,V,3.1.85
विस्तृत,V,3.1.85
तत,V,3.1.85
अन्तर्गत,V,3.1.85
विस्मृत,V,3.1.85
प्राप्त,V,3.1.85
प्रणिहित,V,3.1.85
वेल्लित,V,3.1.86
प्रेङ्खित,V,3.1.86
आधूत,V,3.1.86
चलित,V,3.1.86
आकम्पित,V,3.1.86
धुत,V,3.1.86
नुत्त,V,3.1.86
नुन्न,V,3.1.86
अस्त,V,3.1.86
निष्ठ्यूत,V,3.1.86
आविद्ध,V,3.1.86
क्षिप्त,V,3.1.86
ईरित,V,3.1.86
परिक्षिप्त,V,3.1.87
निवृत,V,3.1.87
मूषित,V,3.1.87
मुषित,V,3.1.87
प्रवृद्ध,V,3.1.87
प्रसृत,V,3.1.87
न्यस्त,V,3.1.87
निसृष्ट,V,3.1.87
गुणित,V,3.1.87
आहत,V,3.1.87
निदिग्ध,V,3.1.88
उपचित,V,3.1.88
गूढ,V,3.1.88
गुप्त,V,3.1.88
गुण्ठित,V,3.1.88
रूषित,V,3.1.88
द्रुत,V,3.1.88
अवदीर्ण,V,3.1.88
उद्गूर्ण,V,3.1.88
उद्यत,V,3.1.88
काचित,V,3.1.88
शिक्यित,V,3.1.88
घ्राण,V,3.1.89
घ्रात,V,3.1.89
दिग्ध,V,3.1.89
लिप्त,V,3.1.89
समुदक्त,V,3.1.89
उद्धृत,V,3.1.89
वेष्टित,V,3.1.89
वलयित,V,3.1.89
संवीत,V,3.1.89
रुद्ध,V,3.1.89
आवृत,V,3.1.89
रुग्ण,V,3.1.90
भुग्न,V,3.1.90
निशित,V,3.1.90
क्ष्णुत,V,3.1.90
शात,N,3.1.90
तेजित,V,3.1.90
विनाशोन्मुख,V,3.1.90
पक्व,V,3.1.90
ह्रीण,V,3.1.90
ह्रीत,V,3.1.90
लज्जित,V,3.1.90
वृत,V,3.1.91
वृत्त,V,3.1.91
व्यावृत्त,V,3.1.91
संयोजित,V,3.1.91
उपाहित,V,3.1.91
प्राप्य,V,3.1.91
गम्य,V,3.1.91
समासाद्य,V,3.1.91
स्यन्न,V,3.1.91
रीण,V,3.1.91
स्नुत,V,3.1.91
स्रुत,V,3.1.91
सङ्गूढ,V,3.1.92
सङ्कलित,V,3.1.92
अवगीत,V,3.1.92
ख्यातगर्हण,V,3.1.92
विविध,V,3.1.92
बहुविध,V,3.1.92
नानारूप,V,3.1.92
पृथग्विध,V,3.1.92
अवरीण,V,3.1.93
धिक्कृत,V,3.1.93
अवध्वस्त,V,3.1.93
अवचूर्णित,V,3.1.93
अनायासकृत,V,3.1.93
फाण्ट,V,3.1.93
स्वनित,V,3.1.93
ध्वनित,V,3.1.93
बद्ध,V,3.1.94
सम्दनित,V,3.1.94
मूत,V,3.1.94
उद्दित,V,3.1.94
सम्दित,V,3.1.94
सित,V,3.1.94
निष्पक्व,V,3.1.94
क्वथित,V,3.1.94
शृत,V,3.1.94
निर्वाण,V,3.1.95
निर्वात,V,3.1.95
पक्व,V,3.1.95
परिणत,V,3.1.95
गून,V,3.1.95
हन्न,V,3.1.95
मीढ,V,3.1.95
मूत्रित,V,3.1.95
पुष्ट,V,3.1.96
पुषित,V,3.1.96
सोढ,V,3.1.96
क्षान्त,V,3.1.96
उद्वान्त,V,3.1.96
उद्गत,V,3.1.96
दान्त,V,3.1.96
दमित,V,3.1.96
शान्त,V,3.1.96
शमित,V,3.1.96
प्रार्थित,V,3.1.96
अर्दित,V,3.1.96
ज्ञप्त,V,3.1.97
ज्ञपित,V,3.1.97
छन्न,V,3.1.97
छादित,V,3.1.97
पूजित,V,3.1.97
अञ्चित,V,3.1.97
पूर्ण,V,3.1.97
पूरित,V,3.1.97
क्लिष्ट,V,3.1.97
क्लिशित,V,3.1.97
अवसित,V,3.1.97
सित,V,3.1.97
प्रुष्ट,V,3.1.98
प्लुष्ट,V,3.1.98
उषित,V,3.1.98
दग्ध,V,3.1.98
तष्ट,V,3.1.98
त्वष्ट,V,3.1.98
तनूकृत,V,3.1.98
वेधित,V,3.1.98
छिद्रित,V,3.1.98
विद्ध,V,3.1.98
विन्न,V,3.1.98
वित्त,V,3.1.98
विचारित,V,3.1.98
निष्प्रभ,V,3.1.99
विगत,V,3.1.99
अरोक,V,3.1.99
विलीन,V,3.1.99
विद्रुत,V,3.1.99
द्रुत,V,3.1.99
